tcp      6 431973 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=60 bytes=5811 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=52 bytes=5759 [ASSURED] mark=0 use=1
udp      17 19 src=192.168.100.24 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.24 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
udp      17 8 src=192.168.100.193 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.193 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431709 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=398 bytes=39431 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=558 bytes=657843 [ASSURED] mark=0 use=1
