tcp      6 431708 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=176 bytes=14777 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=150 bytes=14939 [ASSURED] mark=0 use=1
udp      17 6 src=192.168.100.22 dst=192.168.100.255 sport=137 dport=137 packets=9 bytes=702 [UNREPLIED] src=192.168.100.255 dst=192.168.100.22 sport=137 dport=137 packets=0 bytes=0 mark=0 use=1
udp      17 26 src=192.168.100.42 dst=192.168.100.255 sport=138 dport=138 packets=6 bytes=1461 [UNREPLIED] src=192.168.100.255 dst=192.168.100.42 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431830 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=440 bytes=41615 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=600 bytes=660195 [ASSURED] mark=0 use=1
