udp      17 7 src=192.168.100.245 dst=192.168.100.255 sport=137 dport=137 packets=3 bytes=234 [UNREPLIED] src=192.168.100.255 dst=192.168.100.245 sport=137 dport=137 packets=0 bytes=0 mark=0 use=1
udp      17 7 src=192.168.100.2 dst=192.168.100.255 sport=137 dport=137 packets=3 bytes=234 [UNREPLIED] src=192.168.100.255 dst=192.168.100.2 sport=137 dport=137 packets=0 bytes=0 mark=0 use=1
udp      17 7 src=192.168.100.31 dst=192.168.100.245 sport=137 dport=137 packets=3 bytes=270 [UNREPLIED] src=192.168.100.245 dst=192.168.100.31 sport=137 dport=137 packets=0 bytes=0 mark=0 use=1
tcp      6 431828 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=384 bytes=38703 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=544 bytes=657059 [ASSURED] mark=0 use=1
