tcp      6 63 TIME_WAIT src=192.168.101.14 dst=192.168.100.31 sport=1965 dport=80 packets=54 bytes=10668 src=192.168.100.31 dst=192.168.101.14 sport=80 dport=1965 packets=55 bytes=8748 [ASSURED] mark=0 use=1
tcp      6 29 TIME_WAIT src=192.168.101.14 dst=192.168.100.31 sport=1964 dport=80 packets=53 bytes=10628 src=192.168.100.31 dst=192.168.101.14 sport=80 dport=1964 packets=53 bytes=8658 [ASSURED] mark=0 use=1
tcp      6 429742 ESTABLISHED src=192.168.101.14 dst=192.168.100.31 sport=1255 dport=22 packets=439 bytes=34581 src=192.168.100.31 dst=192.168.101.14 sport=22 dport=1255 packets=395 bytes=62877 [ASSURED] mark=0 use=1
tcp      6 431999 ESTABLISHED src=192.168.101.14 dst=192.168.100.31 sport=1967 dport=80 packets=35 bytes=6908 src=192.168.100.31 dst=192.168.101.14 sport=80 dport=1967 packets=35 bytes=5999 [ASSURED] mark=0 use=1
udp      17 26 src=192.168.100.2 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=708 [UNREPLIED] src=192.168.100.255 dst=192.168.100.2 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 97 TIME_WAIT src=192.168.101.14 dst=192.168.100.31 sport=1966 dport=80 packets=52 bytes=10588 src=192.168.100.31 dst=192.168.101.14 sport=80 dport=1966 packets=55 bytes=9494 [ASSURED] mark=0 use=1
