tcp      6 431685 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=118 bytes=10929 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=100 bytes=10995 [ASSURED] mark=0 use=1
tcp      6 431382 ESTABLISHED src=192.168.100.41 dst=192.168.100.31 sport=1547 dport=22 packets=820 bytes=58957 src=192.168.100.31 dst=192.168.100.41 sport=22 dport=1547 packets=718 bytes=92745 [ASSURED] mark=0 use=1
udp      17 14 src=192.168.100.25 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.25 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431829 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=410 bytes=40055 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=570 bytes=658515 [ASSURED] mark=0 use=1
