tcp      6 431828 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=178 bytes=14857 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=152 bytes=15027 [ASSURED] mark=0 use=1
udp      17 16 src=192.168.200.31 dst=192.168.200.255 sport=138 dport=138 packets=6 bytes=1524 [UNREPLIED] src=192.168.200.255 dst=192.168.200.31 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
udp      17 16 src=192.168.31.1 dst=192.168.31.255 sport=138 dport=138 packets=6 bytes=1524 [UNREPLIED] src=192.168.31.255 dst=192.168.31.1 sport=138 dport=138 packets=0 bytes=0 mark=0 use=2
tcp      6 431950 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=442 bytes=41719 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=602 bytes=660307 [ASSURED] mark=0 use=1
