udp      17 24 src=192.168.100.41 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.41 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431999 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=347 bytes=30979 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=291 bytes=31559 [ASSURED] mark=0 use=1
tcp      6 431890 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=456 bytes=42447 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=616 bytes=661091 [ASSURED] mark=0 use=1
