tcp      6 431889 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=174 bytes=14697 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=148 bytes=14851 [ASSURED] mark=0 use=1
tcp      6 429393 ESTABLISHED src=192.168.100.41 dst=192.168.100.31 sport=2349 dport=22 packets=69 bytes=5137 src=192.168.100.31 dst=192.168.100.41 sport=22 dport=2349 packets=107 bytes=14545 [ASSURED] mark=0 use=1
udp      17 4 src=192.168.100.193 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.193 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431650 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=437 bytes=41459 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=597 bytes=660027 [ASSURED] mark=0 use=1
