tcp      6 431825 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=31 bytes=3141 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=28 bytes=3023 [ASSURED] mark=0 use=1
udp      17 4 src=192.168.100.3 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.3 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
udp      17 19 src=192.168.100.14 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.14 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431829 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=395 bytes=39275 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=555 bytes=657675 [ASSURED] mark=0 use=1
