udp      17 27 src=192.168.100.41 dst=192.168.100.255 sport=138 dport=138 packets=3 bytes=687 [UNREPLIED] src=192.168.100.255 dst=192.168.100.41 sport=138 dport=138 packets=0 bytes=0 mark=0 use=1
tcp      6 431989 ESTABLISHED src=192.168.100.12 dst=192.168.100.31 sport=1458 dport=445 packets=42 bytes=4185 src=192.168.100.31 dst=192.168.100.12 sport=445 dport=1458 packets=37 bytes=4091 [ASSURED] mark=0 use=1
tcp      6 431889 ESTABLISHED src=192.168.100.42 dst=192.168.100.31 sport=38994 dport=445 packets=396 bytes=39327 src=192.168.100.31 dst=192.168.100.42 sport=445 dport=38994 packets=556 bytes=657731 [ASSURED] mark=0 use=1
